

E-text prepared by sp1nd and the Online Distributed Proofreading Team
(http://www.pgdp.net) from page images generously made available by
Internet Archive (https://archive.org)



Note: Images of the original pages are available through
      Internet Archive. See
      https://archive.org/details/crippscarrierwoo00blac


Transcriber's note:

      Text enclosed by underscores is in italics (_italics_).





CRIPPS, THE CARRIER.

A WOODLAND TALE.

by

RICHARD DODDRIDGE BLACKMORE,

Author of "Lorna Doone," "Alice Lorraine," etc.


    [Greek: ar estin hemin logidion gnomen echon,
    humn men auton ouchi dexioteron,
    kompsdias de photikes sophoteron;]

    AR. VESP. 64.


New Edition







London:
Sampson Low, Marston & Company, Limited,
St. Dunstan's House,
Fetter Lane, Fleet Street, E.C.
1892.

[All rights reserved.]


      *      *      *      *      *      *

    BY THE SAME AUTHOR.


    LORNA DOONE.

        (_Illustrated, edition de luxe, parchment, 35s.; plainer
        bindings, 31s. 6d., 21s., and 7s. 6d._)

    ALICE LORRAINE.
    CLARA VAUGHAN.
    CRADOCK NOWELL,
    CRIPPS, THE CARRIER.
    MARY ANERLEY.
    EREMA: or, My Father's Sin.
    CHRISTOWELL: A Dartmoor Tale.
    TOMMY UPMORE.
    SPRINGHAVEN.
    KIT AND KITTY.

    LONDON:
    SAMPSON LOW, MARSTON & COMPANY, LIMITED.
    FETTER LANE. FLEET STREET, E.C.

      *      *      *      *      *      *


CONTENTS.


CHAPTER                                           PAGE
"We shall have you yet, you d----d old clod!" Mr. Sharp in his rage
yelled after him; "oh, I'll pay you out for this devil's own trick!
You aren't come to the Corner yet."

"Ho, ho!" shouted Cripps; "Liar Sharp, my duty to you! You don't catch
me goin' to the Corner, sir, if some of the firm be awaitin' for me
there."

With these words he gaily struck off to the right, through a by-lane,
unknown, but just passable, where the sound of his wheels was no
longer heard, and the mossy boughs closed over him. Grace clung to his
arm; and glory and gladness filled the simple heart of Cripps.

Meanwhile Mr. Sharp, who had stuck to his bridle, limped to his horse,
but could not mount. Then he drew forth the other pistol from the near
holster, and cocked it and levelled it at Cripps; but thanks to brave
Dobbin, now the distance was too great; and he kept the charge for
nobler use.




CHAPTER LIII.

"THIS WILL DO."


Mr. Sharp's young horse, being highly fed and victualled for the long
ride to London, and having been struck in the eye unjustly, and jarred
in the brain by the roar of a pistol and whizz of a bullet between his
pricked ears, was now in a state of mind which offered no fair field
for pure reasoning process. A better-disposed horse was never foaled;
and possibly none--setting Dobbin aside, as the premier and quite
unapproachable type--who took a clearer view of his duties to the
provider of corn, hay, and straw, and was more ready to face and
undergo all proper responsibilities.

Therefore he cannot be fairly blamed, and not a pound should be
deducted from his warrantable value, simply because he now did what
any other young horse in the world would have felt to be right. He
stared all around to ask what was coming next, and he tugged on the
bridle, with his fore-feet out, as a leverage against injustice, and
his hind-legs spread wide apart, like a merry-thought, ready to hop
anywhere. At the same time he stared with great terrified eyes, now at
the man who had involved him in these perils, and now at the darkening
forest which might hold even worse in the background.

Mr. Sharp was not in the mood for coaxing, or any conciliation. His
left foot was crushed so that he could only hop, and to put it to the
ground was agony; his own son had turned against him; and a
contemptible clod had outwitted him; disgrace, and ruin, and death
stared at him; and here was his favourite horse a rebel! He fixed his
fierce eyes on the eyes of the horse, and fairly quelled him with
fury. The eyes of the horse shrank back, and turned, and trembled, and
blinked, and pleaded softly, and then absolutely fawned. Being a very
intelligent nag, he was as sure as any sound Christian of the
personality of the devil--and, far worse than that, of his presence
now before him.

He came round whinnying to his master's side, as gentle as a lamb, and
as abject as a hang-dog; he allowed the lame lawyer to pick up his
whip, and to lash him on his poor back, without a wince, and to lead
him (when weary of that) to a stump, from which he was able to mount
again.

"Thank you, you devil," cried Mr. Sharp, giving his good horse another
swinging lash; "it is hopeless altogether to ride after the cart. That
part of the play is played out and done with. The pious papa and the
milk-and-water missy rush into each other's arms. And as for me--well,
well, I have learned to make a horse obey me. Now, sir, if you please,
we will join the ladies--gently, because of your master's foot."

He rode back quietly along the track over which he had chased the
Carrier's cart; and his foot was now in such anguish that the whole of
his wonderful self-command was needed to keep him silent. He set his
hard lips, and his rigid nose was drawn as pale as parchment, and the
fire of his eyes died into the dulness of universal rancour. No
hard-hearted man can find his joy in the sweet soft works of nature,
any more than the naked flint nurses flowers. The beauty of the young
May twilight flowing through the woven wood, and harbouring, like a
blue bloom, here and there, in bays of verdure; while upward all the
great trees reared their domes once more in summer roofage, and
stopped out the heavens; while in among them, finding refuge, birds
(before the dark fell on them) filled the world with melody; and all
the hushing rustle of the well-earned night was settling down--through
all of these rode Mr. Sharp, and hated every one of them.

Presently his horse gave a little turn of head, but was too cowed down
to shy again; and a tall woman, darkly clad, was standing by the
timber track, with one hand up to catch his eyes.

"You here, Cinnaminta!" cried the lawyer with surprise. "I have no
time now. What do you want with me?"

"I want you to see the work of your hand--your only child, dead by
your own blow!"

Struck with cold horror, he could not speak. But he reeled in the
saddle, with his hand on his heart, and stared at Cinnaminta.

"It is true," she said softly; "come here and see it. Even for you,
Luke Sharp, I never could have wished a sight like this. You have
ruined my life; you have made my people thieves; the loss of my
children lies on you. But to see your only son murdered by yourself is
too bad even for such as you."

"I never meant it--I never dreamed it--God is my witness that I never
did. I thought his head was a great deal thicker."

Sneerer as he was, he meant no jest now. He simply spoke the earnest
truth. In his passion he had struck men before, and knocked them down,
with no great harm; he forgot his own fury in this one blow, and the
weight of his heavily-loaded whip.

"If you cannot believe," she answered sternly, supposing him to be
jeering still, "you had better come here. He was a kind, good lad,
good to me, and to my last child. I have made him look very nice. Will
you come? Or will you go and tell his mother?"

Luke Sharp looked at her in the same sort of way in which many of his
victims had looked at him. Then he touched his horse gently, having
had too much of rage, and allowed him to take his own choice of way.

The poor horse, having had a very bad time of it, made the most of
this privilege. Setting an example to mankind (whose first thought is
not sure to be of home) the poor fellow pointed the white star on his
forehead towards his distant stable. Oxford was many a bad mile away,
but his heart was set upon being there. Sleepily therefore he jogged
along, having never known such a day of it.

While he thought of his oat-sieve sweetly, and nice little nibbles at
his clover hay, and the comfortable soothing of his creased places by
a man who would sing a tune to him, his rider was in a very different
case, without one hope to turn to.

The rising of the moon to assuage the earth of all the long sun fever,
the spread of dewy light, and quivering of the nerves of shadow, and
then the soft, unfeatured beauty of the dim tranquillity, coming over
Luke Sharp's road, or flitting on his face, what difference could they
make to its white despair? He hated light, he loathed the shade, he
scorned the meekness of the dapple, and he cursed the darkness.

Out of sight of the road, and yet within a level course of it, there
lay, to his knowledge, a deep, and quiet, and seldom-troubled
forest-pool. This had long been in his mind, and coming to the
footpath now, he drew his bridle towards it.

The moon was here fenced out by trees, and thickets of blackthorn, and
ivy hanging like a funeral pall. Except that here at the lip of
darkness, one broad beam of light stole in, and shivered on gray boles
